pos,neg,neu,compound
0.141,0.207,0.652,-0.1531
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.183,0.305,0.512,-0.2927
0.0,0.0,1.0,0.0
0.283,0.186,0.531,0.2732
0.0,0.0,1.0,0.0
0.28,0.29,0.43,-0.0258
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.149,0.851,-0.1027
0.0,0.213,0.787,-0.2263
0.0,0.375,0.625,-0.7184
0.0,0.405,0.595,-0.5267
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.096,0.316,0.588,-0.6124
0.0,0.237,0.763,-0.4767
0.189,0.0,0.811,0.2732
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.483,0.517,-0.6808
0.459,0.0,0.541,0.6249
0.231,0.0,0.769,0.4019
0.286,0.0,0.714,0.4215
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.313,0.687,-0.6249
0.0,0.153,0.847,-0.2047
0.182,0.0,0.818,0.25
0.0,0.247,0.753,-0.3182
0.0,0.31,0.69,-0.4019
0.222,0.315,0.463,-0.25
0.485,0.0,0.515,0.765
0.0,0.0,1.0,0.0
0.0,0.278,0.722,-0.6124
0.0,0.0,1.0,0.0
0.0,0.2,0.8,-0.3612
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.186,0.814,-0.1531
0.0,0.0,1.0,0.0
0.0,0.44,0.56,-0.6705
0.0,0.32,0.68,-0.6908
0.0,0.0,1.0,0.0
0.0,0.237,0.763,-0.4767
0.211,0.0,0.789,0.34
0.238,0.0,0.762,0.3612
0.0,0.0,1.0,0.0
0.0,0.388,0.612,-0.6908
0.0,0.0,1.0,0.0
0.565,0.0,0.435,0.3818
0.236,0.198,0.566,0.1027
0.314,0.362,0.324,0.0258
0.0,0.0,1.0,0.0
0.0,0.346,0.654,-0.5719
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.355,0.0,0.645,0.5106
0.0,0.351,0.649,-0.4019
0.344,0.0,0.656,0.6369
0.0,0.0,1.0,0.0
0.0,0.175,0.825,-0.1779
0.429,0.0,0.571,0.4588
0.0,0.153,0.847,-0.2023
0.0,0.333,0.667,-0.3612
0.0,0.0,1.0,0.0
0.0,0.244,0.756,-0.4404
0.0,0.279,0.721,-0.4767
0.0,0.231,0.769,-0.128
0.0,0.0,1.0,0.0
0.0,0.167,0.833,-0.296
0.123,0.198,0.679,-0.296
0.0,0.423,0.577,-0.765
0.0,0.357,0.643,-0.6124
0.0,0.294,0.706,-0.3612
0.4,0.0,0.6,0.6124
0.0,0.0,1.0,0.0
0.0,0.348,0.652,-0.4939
0.0,0.242,0.758,-0.4939
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.205,0.0,0.795,0.2023
0.663,0.0,0.337,0.7096
0.263,0.0,0.737,0.3612
0.0,0.0,1.0,0.0
0.0,0.211,0.789,-0.4939
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.167,0.0,0.833,0.2023
0.0,0.0,1.0,0.0
0.0,0.167,0.833,-0.1531
0.496,0.0,0.504,0.7096
0.0,0.0,1.0,0.0
0.0,0.327,0.673,-0.5267
0.333,0.275,0.392,0.1531
0.0,0.474,0.526,-0.743
0.0,0.0,1.0,0.0
0.222,0.0,0.778,0.25
0.0,0.31,0.69,-0.4019
0.0,0.274,0.726,-0.5267
0.0,0.556,0.444,-0.875
0.0,0.487,0.513,-0.5859
0.0,0.0,1.0,0.0
0.0,0.605,0.395,-0.6808
0.222,0.222,0.556,0.0
0.0,0.0,1.0,0.0
0.167,0.0,0.833,0.1531
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.286,0.0,0.714,0.34
0.252,0.0,0.748,0.5719
0.0,0.0,1.0,0.0
0.126,0.385,0.49,-0.5719
0.0,0.0,1.0,0.0
0.47,0.0,0.53,0.7964
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.182,0.0,0.818,0.25
0.0,0.0,1.0,0.0
0.259,0.0,0.741,0.4215
0.0,0.0,1.0,0.0
0.213,0.0,0.787,0.4019
0.0,0.304,0.696,-0.5423
0.0,0.0,1.0,0.0
0.11,0.337,0.552,-0.5719
0.0,0.341,0.659,-0.4767
